2025-05-23T01:59:11.336043900,1,ADD,New salesman added
2025-05-23T01:59:45.007682,Jason,UPDATE,Salesman information updated
2025-05-25T02:58:23.520981300,1,ADD,New salesman added
2025-05-25T20:45:48.677491300,1,ADD,New salesman added
2025-05-25T21:15:26.114504400,1,ADD,New salesman added
2025-05-25T21:30:40.102772900,1,ADD,New salesman added
2025-05-25T21:44:21.684081300,1,ADD,New salesman added
2025-05-25T22:02:17.239648100,1,ADD,New salesman added
2025-05-25T22:27:17.447852500,1,ADD,New salesman added
2025-05-25T22:32:58.809992700,1,ADD,New salesman added
2025-05-25T22:38:58.681678400,1,ADD,New salesman added
2025-05-25T22:45:00.786769200,Jason,ADD,New salesman added
2025-05-26T16:54:33.367581900,SYSTEM,UPDATE_CAR_STATUS,Car status updated: C01 to BOOKED
